id,title,theme,genre,scene_type,location,time,emotion,emotion_intensity,characters,summary,blocking_count,lighting_cue_count,sound_cue_count
natok_011,দারিদ্র্য ও শিক্ষা - ছোট নাটক 011,দারিদ্র্য ও শিক্ষা,social_drama,confrontation,বিশ্ববিদ্যালয়ের করিডর,সকাল,দ্বিধা,0.9,তিথি | আফসানা,বিশ্ববিদ্যালয়ের করিডর-এ দারিদ্র্য ও শিক্ষা নিয়ে তিথি ও আফসানা-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_012,বিশ্বাস ভঙ্গ - ছোট নাটক 012,বিশ্বাস ভঙ্গ,family_drama,revelation,পার্ক,সন্ধ্যা,দুঃখ,0.79,তানভীর | জয়া,পার্ক-এ বিশ্বাস ভঙ্গ নিয়ে তানভীর ও জয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_013,পুরোনো চিঠি - ছোট নাটক 013,পুরোনো চিঠি,student_life,revelation,শ্রেণিকক্ষ,বিকেল,দুঃখ,0.84,রাফি | নাঈম,শ্রেণিকক্ষ-এ পুরোনো চিঠি নিয়ে রাফি ও নাঈম-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_014,স্বপ্ন বনাম বাস্তবতা - ছোট নাটক 014,স্বপ্ন বনাম বাস্তবতা,awareness,decision,পার্ক,সন্ধ্যা,রাগ,0.63,নীরা | আরিফ,পার্ক-এ স্বপ্ন বনাম বাস্তবতা নিয়ে নীরা ও আরিফ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_015,বেকারত্ব - ছোট নাটক 015,বেকারত্ব,emotional_drama,reconciliation,চায়ের দোকান,বিকেল,দ্বিধা,0.86,নীরা | জয়া,চায়ের দোকান-এ বেকারত্ব নিয়ে নীরা ও জয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_016,সাইবার বুলিং - ছোট নাটক 016,সাইবার বুলিং,social_drama,revelation,বসার ঘর,রাত,উদ্বেগ,0.6,লাবণ্য | সোহান,বসার ঘর-এ সাইবার বুলিং নিয়ে লাবণ্য ও সোহান-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_017,ভুয়া খবর - ছোট নাটক 017,ভুয়া খবর,family_drama,decision,বিশ্ববিদ্যালয়ের করিডর,বিকেল,আশা,0.66,মৌ | নাবিল,বিশ্ববিদ্যালয়ের করিডর-এ ভুয়া খবর নিয়ে মৌ ও নাবিল-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_018,পরীক্ষার চাপ - ছোট নাটক 018,পরীক্ষার চাপ,student_life,confrontation,গ্রামের উঠান,রাত,দুঃখ,0.76,মৌ | লাবণ্য,গ্রামের উঠান-এ পরীক্ষার চাপ নিয়ে মৌ ও লাবণ্য-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_019,মোবাইল আসক্তি - ছোট নাটক 019,মোবাইল আসক্তি,awareness,confrontation,গ্রামের উঠান,বিকেল,দুঃখ,0.65,নাবিল | সুমাইয়া,গ্রামের উঠান-এ মোবাইল আসক্তি নিয়ে নাবিল ও সুমাইয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_020,বন্ধুত্বের পরীক্ষা - ছোট নাটক 020,বন্ধুত্বের পরীক্ষা,emotional_drama,decision,পার্ক,রাত,আশা,0.74,তিথি | নাঈম,পার্ক-এ বন্ধুত্বের পরীক্ষা নিয়ে তিথি ও নাঈম-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_021,পারিবারিক ভুল বোঝাবুঝি - ছোট নাটক 021,পারিবারিক ভুল বোঝাবুঝি,social_drama,decision,চায়ের দোকান,সকাল,দুঃখ,0.7,জয়া | নাঈম,চায়ের দোকান-এ পারিবারিক ভুল বোঝাবুঝি নিয়ে জয়া ও নাঈম-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_022,অনলাইন প্রতারণা - ছোট নাটক 022,অনলাইন প্রতারণা,family_drama,revelation,বসার ঘর,বিকেল,দুঃখ,0.8,আরিফ | মেহজাবিন,বসার ঘর-এ অনলাইন প্রতারণা নিয়ে আরিফ ও মেহজাবিন-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_023,নারীর শিক্ষা - ছোট নাটক 023,নারীর শিক্ষা,student_life,reconciliation,ছাত্রাবাস,সকাল,দ্বিধা,0.67,নাঈম | ইমন,ছাত্রাবাস-এ নারীর শিক্ষা নিয়ে নাঈম ও ইমন-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_024,সততার মূল্য - ছোট নাটক 024,সততার মূল্য,awareness,reconciliation,বসার ঘর,সন্ধ্যা,দ্বিধা,0.6,শীলা | মেহজাবিন,বসার ঘর-এ সততার মূল্য নিয়ে শীলা ও মেহজাবিন-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_025,পরিবেশ দূষণ - ছোট নাটক 025,পরিবেশ দূষণ,emotional_drama,decision,পার্ক,সকাল,আশা,0.85,নাঈম | রিয়াদ,পার্ক-এ পরিবেশ দূষণ নিয়ে নাঈম ও রিয়াদ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_026,দারিদ্র্য ও শিক্ষা - ছোট নাটক 026,দারিদ্র্য ও শিক্ষা,social_drama,confrontation,বসার ঘর,বিকেল,উদ্বেগ,0.57,সামি | রাহাত,বসার ঘর-এ দারিদ্র্য ও শিক্ষা নিয়ে সামি ও রাহাত-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_027,বিশ্বাস ভঙ্গ - ছোট নাটক 027,বিশ্বাস ভঙ্গ,family_drama,confrontation,শ্রেণিকক্ষ,সকাল,রাগ,0.81,আরিফ | মেহজাবিন,শ্রেণিকক্ষ-এ বিশ্বাস ভঙ্গ নিয়ে আরিফ ও মেহজাবিন-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_028,পুরোনো চিঠি - ছোট নাটক 028,পুরোনো চিঠি,student_life,revelation,পার্ক,সন্ধ্যা,দুঃখ,0.84,মৌ | আরিফ,পার্ক-এ পুরোনো চিঠি নিয়ে মৌ ও আরিফ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_029,স্বপ্ন বনাম বাস্তবতা - ছোট নাটক 029,স্বপ্ন বনাম বাস্তবতা,awareness,decision,ছাত্রাবাস,বিকেল,উদ্বেগ,0.57,নাবিল | ইমন,ছাত্রাবাস-এ স্বপ্ন বনাম বাস্তবতা নিয়ে নাবিল ও ইমন-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_030,বেকারত্ব - ছোট নাটক 030,বেকারত্ব,emotional_drama,revelation,শ্রেণিকক্ষ,সন্ধ্যা,দুঃখ,0.55,সুমাইয়া | শীলা,শ্রেণিকক্ষ-এ বেকারত্ব নিয়ে সুমাইয়া ও শীলা-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_031,সাইবার বুলিং - ছোট নাটক 031,সাইবার বুলিং,social_drama,confrontation,পার্ক,রাত,রাগ,0.65,ইমন | সামি,পার্ক-এ সাইবার বুলিং নিয়ে ইমন ও সামি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_032,ভুয়া খবর - ছোট নাটক 032,ভুয়া খবর,family_drama,revelation,গ্রামের উঠান,সকাল,আশা,0.83,নীরা | সামি,গ্রামের উঠান-এ ভুয়া খবর নিয়ে নীরা ও সামি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_033,পরীক্ষার চাপ - ছোট নাটক 033,পরীক্ষার চাপ,student_life,revelation,বিশ্ববিদ্যালয়ের করিডর,রাত,উদ্বেগ,0.55,নীরা | সামি,বিশ্ববিদ্যালয়ের করিডর-এ পরীক্ষার চাপ নিয়ে নীরা ও সামি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_034,মোবাইল আসক্তি - ছোট নাটক 034,মোবাইল আসক্তি,awareness,reconciliation,বসার ঘর,রাত,দ্বিধা,0.58,সামি | নাঈম,বসার ঘর-এ মোবাইল আসক্তি নিয়ে সামি ও নাঈম-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_035,বন্ধুত্বের পরীক্ষা - ছোট নাটক 035,বন্ধুত্বের পরীক্ষা,emotional_drama,confrontation,চায়ের দোকান,রাত,উদ্বেগ,0.89,মেহজাবিন | মিতা,চায়ের দোকান-এ বন্ধুত্বের পরীক্ষা নিয়ে মেহজাবিন ও মিতা-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_036,পারিবারিক ভুল বোঝাবুঝি - ছোট নাটক 036,পারিবারিক ভুল বোঝাবুঝি,social_drama,reconciliation,পার্ক,সকাল,উদ্বেগ,0.71,তিথি | আরিফ,পার্ক-এ পারিবারিক ভুল বোঝাবুঝি নিয়ে তিথি ও আরিফ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_037,অনলাইন প্রতারণা - ছোট নাটক 037,অনলাইন প্রতারণা,family_drama,revelation,শ্রেণিকক্ষ,সন্ধ্যা,রাগ,0.8,নাঈম | তানভীর,শ্রেণিকক্ষ-এ অনলাইন প্রতারণা নিয়ে নাঈম ও তানভীর-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_038,নারীর শিক্ষা - ছোট নাটক 038,নারীর শিক্ষা,student_life,decision,পার্ক,রাত,উদ্বেগ,0.59,নীরা | জয়া,পার্ক-এ নারীর শিক্ষা নিয়ে নীরা ও জয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_039,সততার মূল্য - ছোট নাটক 039,সততার মূল্য,awareness,reconciliation,ছাত্রাবাস,সকাল,উদ্বেগ,0.87,সোহান | রাফি,ছাত্রাবাস-এ সততার মূল্য নিয়ে সোহান ও রাফি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_040,পরিবেশ দূষণ - ছোট নাটক 040,পরিবেশ দূষণ,emotional_drama,revelation,শ্রেণিকক্ষ,সন্ধ্যা,দ্বিধা,0.86,রাহাত | মিতা,শ্রেণিকক্ষ-এ পরিবেশ দূষণ নিয়ে রাহাত ও মিতা-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_041,দারিদ্র্য ও শিক্ষা - ছোট নাটক 041,দারিদ্র্য ও শিক্ষা,social_drama,revelation,চায়ের দোকান,বিকেল,দ্বিধা,0.7,ইমন | মৌ,চায়ের দোকান-এ দারিদ্র্য ও শিক্ষা নিয়ে ইমন ও মৌ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_042,বিশ্বাস ভঙ্গ - ছোট নাটক 042,বিশ্বাস ভঙ্গ,family_drama,revelation,শ্রেণিকক্ষ,সকাল,দুঃখ,0.73,মেহজাবিন | শীলা,শ্রেণিকক্ষ-এ বিশ্বাস ভঙ্গ নিয়ে মেহজাবিন ও শীলা-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_043,পুরোনো চিঠি - ছোট নাটক 043,পুরোনো চিঠি,student_life,revelation,চায়ের দোকান,সন্ধ্যা,আশা,0.58,জয়া | মৌ,চায়ের দোকান-এ পুরোনো চিঠি নিয়ে জয়া ও মৌ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_044,স্বপ্ন বনাম বাস্তবতা - ছোট নাটক 044,স্বপ্ন বনাম বাস্তবতা,awareness,decision,শ্রেণিকক্ষ,সকাল,দ্বিধা,0.65,নীরা | আফসানা,শ্রেণিকক্ষ-এ স্বপ্ন বনাম বাস্তবতা নিয়ে নীরা ও আফসানা-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_045,বেকারত্ব - ছোট নাটক 045,বেকারত্ব,emotional_drama,confrontation,চায়ের দোকান,রাত,দ্বিধা,0.89,আফসানা | নাবিল,চায়ের দোকান-এ বেকারত্ব নিয়ে আফসানা ও নাবিল-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_046,সাইবার বুলিং - ছোট নাটক 046,সাইবার বুলিং,social_drama,reconciliation,বসার ঘর,সকাল,আশা,0.82,জয়া | রাফি,বসার ঘর-এ সাইবার বুলিং নিয়ে জয়া ও রাফি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_047,ভুয়া খবর - ছোট নাটক 047,ভুয়া খবর,family_drama,revelation,চায়ের দোকান,রাত,উদ্বেগ,0.63,রাফি | নাবিল,চায়ের দোকান-এ ভুয়া খবর নিয়ে রাফি ও নাবিল-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_048,পরীক্ষার চাপ - ছোট নাটক 048,পরীক্ষার চাপ,student_life,confrontation,বিশ্ববিদ্যালয়ের করিডর,রাত,উদ্বেগ,0.57,শীলা | রাফি,বিশ্ববিদ্যালয়ের করিডর-এ পরীক্ষার চাপ নিয়ে শীলা ও রাফি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_049,মোবাইল আসক্তি - ছোট নাটক 049,মোবাইল আসক্তি,awareness,decision,বাসস্ট্যান্ড,রাত,দুঃখ,0.55,আরিফ | জয়া,বাসস্ট্যান্ড-এ মোবাইল আসক্তি নিয়ে আরিফ ও জয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_050,বন্ধুত্বের পরীক্ষা - ছোট নাটক 050,বন্ধুত্বের পরীক্ষা,emotional_drama,confrontation,বসার ঘর,রাত,আশা,0.62,মেহজাবিন | নাঈম,বসার ঘর-এ বন্ধুত্বের পরীক্ষা নিয়ে মেহজাবিন ও নাঈম-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_051,পারিবারিক ভুল বোঝাবুঝি - ছোট নাটক 051,পারিবারিক ভুল বোঝাবুঝি,social_drama,confrontation,বাসস্ট্যান্ড,বিকেল,দ্বিধা,0.71,নীরা | জয়া,বাসস্ট্যান্ড-এ পারিবারিক ভুল বোঝাবুঝি নিয়ে নীরা ও জয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_052,অনলাইন প্রতারণা - ছোট নাটক 052,অনলাইন প্রতারণা,family_drama,decision,বসার ঘর,রাত,দুঃখ,0.59,সোহান | তিথি,বসার ঘর-এ অনলাইন প্রতারণা নিয়ে সোহান ও তিথি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_053,নারীর শিক্ষা - ছোট নাটক 053,নারীর শিক্ষা,student_life,confrontation,বসার ঘর,রাত,দুঃখ,0.68,সামি | রাহাত,বসার ঘর-এ নারীর শিক্ষা নিয়ে সামি ও রাহাত-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_054,সততার মূল্য - ছোট নাটক 054,সততার মূল্য,awareness,confrontation,ছাত্রাবাস,সকাল,উদ্বেগ,0.62,তানভীর | আরিফ,ছাত্রাবাস-এ সততার মূল্য নিয়ে তানভীর ও আরিফ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_055,পরিবেশ দূষণ - ছোট নাটক 055,পরিবেশ দূষণ,emotional_drama,confrontation,ছাত্রাবাস,বিকেল,রাগ,0.72,সামি | সোহান,ছাত্রাবাস-এ পরিবেশ দূষণ নিয়ে সামি ও সোহান-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_056,দারিদ্র্য ও শিক্ষা - ছোট নাটক 056,দারিদ্র্য ও শিক্ষা,social_drama,decision,শ্রেণিকক্ষ,সন্ধ্যা,দ্বিধা,0.68,তানভীর | ইমন,শ্রেণিকক্ষ-এ দারিদ্র্য ও শিক্ষা নিয়ে তানভীর ও ইমন-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_057,বিশ্বাস ভঙ্গ - ছোট নাটক 057,বিশ্বাস ভঙ্গ,family_drama,revelation,চায়ের দোকান,রাত,রাগ,0.9,শীলা | সামি,চায়ের দোকান-এ বিশ্বাস ভঙ্গ নিয়ে শীলা ও সামি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_058,পুরোনো চিঠি - ছোট নাটক 058,পুরোনো চিঠি,student_life,confrontation,চায়ের দোকান,সন্ধ্যা,উদ্বেগ,0.65,রাহাত | সামি,চায়ের দোকান-এ পুরোনো চিঠি নিয়ে রাহাত ও সামি-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_059,স্বপ্ন বনাম বাস্তবতা - ছোট নাটক 059,স্বপ্ন বনাম বাস্তবতা,awareness,decision,শ্রেণিকক্ষ,সকাল,দ্বিধা,0.64,রাহাত | আফসানা,শ্রেণিকক্ষ-এ স্বপ্ন বনাম বাস্তবতা নিয়ে রাহাত ও আফসানা-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_060,বেকারত্ব - ছোট নাটক 060,বেকারত্ব,emotional_drama,decision,চায়ের দোকান,বিকেল,রাগ,0.57,নীরা | নাঈম,চায়ের দোকান-এ বেকারত্ব নিয়ে নীরা ও নাঈম-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_061,সাইবার বুলিং - ছোট নাটক 061,সাইবার বুলিং,social_drama,revelation,চায়ের দোকান,সকাল,উদ্বেগ,0.67,শীলা | রিয়াদ,চায়ের দোকান-এ সাইবার বুলিং নিয়ে শীলা ও রিয়াদ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_062,ভুয়া খবর - ছোট নাটক 062,ভুয়া খবর,family_drama,confrontation,শ্রেণিকক্ষ,বিকেল,রাগ,0.83,মিতা | আরিফ,শ্রেণিকক্ষ-এ ভুয়া খবর নিয়ে মিতা ও আরিফ-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_063,পরীক্ষার চাপ - ছোট নাটক 063,পরীক্ষার চাপ,student_life,decision,বসার ঘর,রাত,উদ্বেগ,0.78,মৌ | জয়া,বসার ঘর-এ পরীক্ষার চাপ নিয়ে মৌ ও জয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_064,মোবাইল আসক্তি - ছোট নাটক 064,মোবাইল আসক্তি,awareness,reconciliation,শ্রেণিকক্ষ,বিকেল,দ্বিধা,0.59,লাবণ্য | মিতা,শ্রেণিকক্ষ-এ মোবাইল আসক্তি নিয়ে লাবণ্য ও মিতা-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_065,বন্ধুত্বের পরীক্ষা - ছোট নাটক 065,বন্ধুত্বের পরীক্ষা,emotional_drama,revelation,ছাত্রাবাস,বিকেল,উদ্বেগ,0.65,সামি | ইমন,ছাত্রাবাস-এ বন্ধুত্বের পরীক্ষা নিয়ে সামি ও ইমন-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
natok_066,পারিবারিক ভুল বোঝাবুঝি - ছোট নাটক 066,পারিবারিক ভুল বোঝাবুঝি,social_drama,reconciliation,বসার ঘর,সকাল,আশা,0.79,নাঈম | সুমাইয়া,বসার ঘর-এ পারিবারিক ভুল বোঝাবুঝি নিয়ে নাঈম ও সুমাইয়া-এর মধ্যে সংক্ষিপ্ত দ্বন্দ্ব তৈরি হয় এবং শেষে তারা সমাধানের দিকে এগোয়।,2,2,2
